index,Bacteria;;,Bacteria;Bacteroidota;Bacteroidia,Bacteria;Proteobacteria;Alphaproteobacteria,Bacteria;Acidobacteriota;Acidobacteriae,Bacteria;Actinobacteriota;Actinobacteria,Bacteria;Proteobacteria;Gammaproteobacteria,Bacteria;Planctomycetota;Planctomycetes,;;,Bacteria;Firmicutes;Bacilli,Bacteria;Verrucomicrobiota;Verrucomicrobiae,Bacteria;Armatimonadota;Fimbriimonadia,Bacteria;Bdellovibrionota;Bdellovibrionia,Bacteria;Bdellovibrionota;Oligoflexia,Bacteria;Actinobacteriota;Thermoleophilia,Bacteria;Planctomycetota;Phycisphaerae,Bacteria;Patescibacteria;Saccharimonadia,Bacteria;Abditibacteriota;Abditibacteria,Bacteria;Cyanobacteria;Cyanobacteriia,group
GRUPO_11,208,87840,7322,875,164,4304,61,10,0,0,0,4,0,0,0,0,0,0,GRUPO_1
GRUPO_12,391,64561,14867,33,3005,5347,9,0,0,0,0,0,0,0,0,0,5,0,GRUPO_1
GRUPO_13,125,112921,1969,194,108,472,24,0,0,4,11,0,0,0,0,0,0,0,GRUPO_1
GRUPO_21,89,109440,3394,240,50,1177,56,5,0,33,0,2,0,0,0,0,0,6,GRUPO_2
GRUPO_22,298,108622,7956,44,1825,1833,74,37,5,8,163,4,3,8,0,0,24,0,GRUPO_2
GRUPO_23,41,116782,515,0,40,100,4,0,14,0,0,0,0,0,0,0,0,0,GRUPO_2
GRUPO_31,3,98877,5376,1023,28,508,131,6,9,64,13,0,0,0,6,7,5,3,GRUPO_3
GRUPO_32,114,84197,8445,1697,80,842,246,0,4,21,22,7,0,0,0,11,4,0,GRUPO_3
GRUPO_33,170,115882,2539,631,33,515,43,0,16,3,3,0,0,0,0,0,0,0,GRUPO_3
