group	taxa	abund	relative_abund
GRUPO_1	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;;;0.89	206	6.757776363529003e-4
GRUPO_1	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;;;0.94	23	7.54509011461976e-5
GRUPO_1	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;;;0.95	212	6.954604801301692e-4
GRUPO_1	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;;;0.96	48	1.5746275021815152e-4
GRUPO_1	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;;;0.99	170	5.576805736892867e-4
GRUPO_1	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;;;1	188	6.167291050210935e-4
GRUPO_1	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;marinus;;0.54	0	0
GRUPO_1	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;marinus;;0.56	145	4.756687246173327e-4
GRUPO_1	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;marinus;;0.68	0	0
GRUPO_1	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;marinus;marinus;0.92	0	0
GRUPO_1	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;rivuli;;0.76	358	0.0011744096787103802
GRUPO_1	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Spirosomaceae;;;;0.86	0	0
GRUPO_1	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Spirosomaceae;;;;0.89	0	0
GRUPO_1	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Spirosomaceae;Larkinella;insperata;insperata;0.79	0	0
GRUPO_1	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Spirosomaceae;Spirosoma;;;0.54	0	0
GRUPO_1	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Spirosomaceae;Spirosoma;;;0.72	22	7.217042718331945e-5
GRUPO_1	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Spirosomaceae;Spirosoma;;;0.95	0	0
GRUPO_1	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Spirosomaceae;Spirosoma;oryzae;;0.77	4	1.3121895851512627e-5
GRUPO_1	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Spirosomaceae;Spirosoma;oryzae;oryzae;0.92	0	0
GRUPO_1	Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Blattabacteriaceae;Candidatus Uzinura;;;0.85	5	1.6402369814390784e-5
GRUPO_1	Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Blattabacteriaceae;Candidatus Uzinura;;;0.95	23	7.54509011461976e-5
GRUPO_1	Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Blattabacteriaceae;Candidatus Uzinura;;;0.98	31	1.0169469284922285e-4
GRUPO_1	Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Blattabacteriaceae;Candidatus Uzinura;;;0.99	142	4.6582730272869827e-4
GRUPO_1	Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Blattabacteriaceae;Candidatus Uzinura;;;1	263494	0.864385206374617
GRUPO_1	Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Myroides;;;0.61	0	0
GRUPO_1	Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Spongiimonas;;;1	0	0
GRUPO_1	Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Chryseobacterium;;;1	0	0
GRUPO_1	Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Elizabethkingia;;;0.98	0	0
GRUPO_1	Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Empedobacter;;;0.87	0	0
GRUPO_1	Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Arcticibacter;;;0.71	11	3.6085213591659724e-5
GRUPO_1	Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;;;0.62	0	0
GRUPO_1	Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;;;0.76	0	0
GRUPO_1	Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;;;0.91	0	0
GRUPO_1	Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;;;0.92	0	0
GRUPO_1	Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;;;1	0	0
GRUPO_1	Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;koreensis;;0.58	0	0
GRUPO_1	Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;koreensis;;0.68	228	7.479480635362197e-4
GRUPO_1	Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;koreensis;;0.69	0	0
GRUPO_1	Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;koreensis;;0.88	0	0
GRUPO_1	Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;terrae;terrae;0.69	0	0
GRUPO_1	Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;nutrimenti;nutrimenti;0.61	12	3.936568755453788e-5
GRUPO_1	Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Bdellovibrionaceae;Bdellovibrio;;;0.74	0	0
GRUPO_1	Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Bdellovibrionaceae;Bdellovibrio;;;0.83	4	1.3121895851512627e-5
GRUPO_1	Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;;;;;0.86	0	0
GRUPO_1	Bacteria;Cyanobacteria;Cyanobacteriia;Synechococcales;Cyanobiaceae;Cyanobium PCC-6307;;;0.63	0	0
GRUPO_1	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;ZOR0006;;;0.73	0	0
GRUPO_1	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;;;1	0	0
GRUPO_1	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;warneri;;0.74	0	0
GRUPO_1	Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;Saccharimonadaceae;TM7a;;;0.83	0	0
GRUPO_1	Bacteria;Planctomycetota;Phycisphaerae;Tepidisphaerales;Tepidisphaeraceae;Tepidisphaera;;;1	0	0
GRUPO_1	Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;;;;1	0	0
GRUPO_1	Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae;;;;0.9	0	0
GRUPO_1	Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae;;;;0.95	0	0
GRUPO_1	Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae;Tundrisphaera;;;0.81	61	2.0010891173556755e-4
GRUPO_1	Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae;Tundrisphaera;;;0.93	9	2.952426566590341e-5
GRUPO_1	Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae;Tundrisphaera;;;0.97	24	7.873137510907576e-5
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;;;;;;0.9	0	0
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;;;;;;0.91	0	0
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;;;;0.94	94	3.0836455251054674e-4
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;;;;0.99	21	6.888995322044128e-5
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;;;;1	0	0
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter;pasteurianus;;0.8	0	0
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Belnapia;;;0.81	0	0
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Rhodovastum;;;0.75	66	2.1651128154995833e-4
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Rhodovastum;;;0.81	0	0
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Roseomonas;cervicalis;;0.72	0	0
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Caedibacterales;Caedibacteraceae;Caedibacter;;;0.87	0	0
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Caedibacterales;Caedibacteraceae;Caedibacter;;;0.95	23	7.54509011461976e-5
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Caedibacterales;Caedibacteraceae;Caedibacter;;;0.99	0	0
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;;;;0.96	77	2.525964951416181e-4
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;;;;1	630	0.0020666985966132385
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter;;;0.56	23	7.54509011461976e-5
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Holosporales;Holosporaceae;;;;0.52	0	0
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales;Micavibrionaceae;;;;0.54	10	3.280473962878157e-5
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;1174-901-12;;;0.78	3624	0.01188843764147044
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;1174-901-12;;;0.93	4	1.3121895851512627e-5
GRUPO_1	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;;;;0.64	12	3.936568755453788e-5
